Infant Mortality Rate,World,Australia,Austria,Belgium,Denmark,Finland,France,Germany,Hungary,Ireland,Italy,Jamaica,Mauritius,Netherlands,New Zealand,Norway,Russia,Spain,Sweden,Switzerland
1821,0.1805,,185,,,,,,,,,,,,,,,,176,
1822,0.18,,198,,,,,,,,,,,,,,,,162,
1823,0.1655,,183,,,,,,,,,,,,,,,,148,
1824,0.174,,192,,,,,,,,,,,,,,,,156,
1825,0.1755,,197,,,,,,,,,,,,,,,,154,
1826,0.1835,,195,,,,,,,,,,,,,,,,172,
1827,0.171,,181,,,,,,,,,,,,,,,,161,
1828,0.179,,188,,,,,,,,,,,,,,,,170,
1829,0.1845,,175,,,,,,,,,,,,,,,,194,
1830,0.2,,237,,,,182,,,,,,,,,,,,181,
1831,0.214,,269,,,,175,,,,,,,,,,,,198,
1832,0.197,,243,,,,182,,,,,,,,,,,,166,
1833,0.198,,260,,,,175,,,,,,,,,,,,159,
1834,0.2115,,271,192,,,209,,,,,,,,,,,,174,
1835,0.177,,248,167,152,,175,,,,,,,,,,,,143,
1836,0.188285714,,236,173,162,,168,292,,,,,,,,134,,,153,
1837,0.197285714,,253,185,142,,169,302,,,,,,,,135,,,195,
1838,0.190714286,,240,190,127,,170,297,,,,,,,,135,,,176,
1839,0.193428571,,255,185,147,,160,285,,,,,,,,158,,,164,
1840,0.184625,,244,182,141,,162,299,,,,,,164,,139,,,146,
1841,0.181,,251,152,142,,158,300,,,,,,171,,115,,,159,
1842,0.189375,,245,160,142,,167,318,,,,,,198,,123,,,162,
1843,0.178375,,259,149,129,,157,287,,,,,,169,,118,,,159,
1844,0.17025,,230,138,131,,154,287,,,,,,164,,117,,,141,
1845,0.174875,,247,145,139,,144,289,,,,,,168,,118,,,149,
1846,0.20075,,251,184,171,,171,318,,,,,,230,,118,,,163,
1847,0.179285714,,,156,153,,159,286,,,,,,208,,120,,,173,
1848,0.171714286,,,141,145,,160,312,,,,,,182,,121,,,141,
1849,0.175375,,243,147,145,,173,285,,,,,,169,,99,,,142,
1850,0.172375,,251,141,127,,146,297,,,,,,169,,102,,,146,
1851,0.17675,,242,148,135,,163,287,,,,,,179,,108,,,152,
1852,0.188666667,,242,147,137,,162,298,229,,,,,201,,119,,,163,
1853,0.185888889,,227,145,153,,149,285,263,,,,,187,,103,,,161,
1854,0.187,,273,149,121,,179,291,264,,,,,183,,97,,,126,
1855,0.193333333,,278,161,126,,175,285,268,,,,,199,,103,,,145,
1856,0.177777778,,241,148,122,,170,253,245,,,,,179,,97,,,145,
1857,0.197666667,,239,168,148,,185,307,255,,,,,212,,100,,,165,
1858,0.19,,250,164,142,,177,289,246,,,,,212,,102,,175,143,
1859,0.2005,,254,165,133,,215,324,249,,,,,227,,104,,191,143,
1860,0.168222222,,237,139,136,,150,260,,,,,,192,,102,,174,124,
1861,0.16975,,264,164,126,,190,,,,,,,196,,113,,168,137,
1862,0.154666667,,250,150,131,,163,,,,,,,193,81,110,,175,139,
1863,0.179727273,,259,157,125,,180,298,,,232,,,184,113,106,,190,133,
1864,0.182769231,,250,165,155,,173,297,256,98,233,,,191,120,101,,200,137,
1865,0.188230769,,270,189,145,,191,332,224,98,229,,,220,110,103,,201,135,
1866,0.174384615,,278,164,126,218,162,301,,94,214,,,190,100,108,,185,127,
