"ï»¿""Data Source""",World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17342.47194,16441.38126,16586.1923,17927.41203,19081.57029,19356.42087,20619.56585,20671.54574,20433.65411,20834.93971,22566.68216,23302.83199,24015.42061,25921.28214,27549.34573,24639.93533,24289.14152,25354.78247,,,
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,3238.089309,3497.913127,4217.400412,5343.122777,6320.971878,7168.39871,7151.573768,7751.169372,9127.611699,11819.64579,12377.71386,10372.32718,9611.238058,8023.345627,7729.323364,7775.027507,10362.16775,12615.05218,14305.20964,15166.91258,18876.73019,19530.84206,20541.77313,16508.87491,16226.97018,18460.00661,19043.83529,18421.68883,18996.44122,19347.11107,17334.27567,18599.41539,20326.9001,25355.26718,29372.16674,31268.96674,34484.70086,39922.89012,46418.41547,,,,,,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,61.30409306,59.79869332,80.42300207,83.79481181,103.0891031,140.1383832,163.7007886,131.2214359,131.3136212,158.7642309,161.709516,137.0236876,144.8505998,175.6255239,188.5521201,199.5466136,226.5788854,250.007641,278.9397783,276.2977514,268.3465596,,,,,,,,,,,,,,,,,,,,115.3125095,185.9592901,198.2877991,220.0562878,252.4078925,275.3509409,373.5914162,376.9776699,450.659239,561.1976175,613.9791916,687.5813677,678.3478881,
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,750.721957,681.9084598,772.2105078,813.960941,923.5829012,992.872871,1144.659637,525.2677821,464.7843426,345.6891602,416.3200958,604.4394354,597.9317814,490.5820149,455.4139458,655.6294946,621.1959301,839.5045121,920.1011758,1229.342988,1706.543616,2440.631716,3412.718998,4596.268431,3988.683557,4218.649126,5159.233666,5539.346932,5668.116799,
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,662.5200534,662.9147907,719.1572969,699.3842908,676.5667325,723.4096116,639.4638985,348.711328,218.4921624,380.527371,619.0649227,760.5593581,951.1320913,697.5945647,871.8936539,1104.743553,1193.466223,1335.141008,1458.128756,1863.203835,2476.115886,2798.949633,3076.979844,3638.710813,4422.692446,4175.779349,4175.120239,4556.144342,4406.116378,4652.351395,
Andean Region,ANR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,293.6210245,317.1257672,336.879294,380.3737635,446.3374525,553.3263601,1015.830778,1088.299868,1306.685123,1463.528615,1553.016947,1986.848232,2589.318798,2698.990921,2395.912471,2176.125588,2109.601476,2010.996626,1851.361221,1916.570828,1792.888993,1831.303098,1989.728858,1905.653378,2005.141981,1978.821834,1974.556597,2058.282239,2225.104267,2316.546253,2204.276487,2332.506955,2617.374412,2517.141194,2499.18935,2754.526072,3168.55212,3795.870241,4410.846345,5045.49591,6253.284174,5268.409287,6060.831219,7042.957136,7626.669716,7709.949189,
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,27631.89854,30817.26338,34371.46289,28742.85535,33716.72408,42961.83822,45232.63353,40339.27187,35218.05797,32731.50724,30138.88635,23788.11076,24019.64401,22543.09623,24289.94214,28066.14992,27018.92638,26944.75487,26224.14905,26568.48993,28020.08541,29776.16001,30218.1755,27482.9829,29183.05043,34476.28542,32984.74237,34062.42574,36906.19989,40403.98817,43533.89178,45554.2194,44488.64986,46402.64477,33012.81512,34048.51735,39057.83706,41691.69503,,
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,,1148.169613,844.725024,1165.785164,1271.415566,1265.777345,1057.328068,1136.125925,1323.707905,1317.186989,1366.118074,1401.324892,2083.811883,2824.427666,2011.421437,1932.103107,2111.621363,2128.116083,2499.956643,2736.897378,2755.744428,2908.250929,3532.450473,2646.406659,2914.154511,3602.179183,3554.877803,3979.637126,2382.217236,4332.656387,5736.020465,6824.997085,6971.142245,9065.649524,8973.321347,9348.6424,9939.753275,10028.81193,9405.790356,9329.113756,8732.466063,3285.026171,4134.50204,4784.691893,5767.657012,6783.713975,8384.187712,10232.95908,9456.816314,11460.37615,13693.70379,14679.92524,14715.18002,
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.68069,589.0029482,368.9168368,356.5073514,399.7512025,455.5502761,503.2319696,522.522072,608.3366487,596.5059963,621.4248263,692.3188255,779.8928417,924.5821548,1182.09736,1625.396904,2126.089566,3079.152187,3916.738107,2913.574143,3124.784854,3421.704509,3353.973125,3504.766758,
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
