Year,Cost of Wars
1821,9.46670324836e+12
1823,5.57193234421e+11
1826,4.82799538513e+12
1828,5.34660582376e+13
1830,8.74894191104e+12
1831,1.90997811579e+13
1834,5.84112769706e+13
1835,3.43964875406e+12
1836,6.4003500752e+12
1837,6.11710908013e+12
1839,1.11313640473e+12
1840,9.54673827442e+12
1841,1.10826871442e+12
1842,1.46948772844e+12
1845,8.16173213572e+11
1846,3.41631446553e+12
1847,2.43659022952e+12
1848,1.51783853822e+13
1849,3.13951001158e+12
1851,7.66216795088e+11
1853,1.6847225375e+13
1854,1.49913003483e+13
1855,5.31012519658e+11
1856,2.06874558769e+11
1858,5.42145880814e+11
1859,2.36290926028e+12
1860,1.25635075762e+13
1861,6.68262952649e+13
1862,1.23827274865e+12
1863,1.62081215573e+12
1864,1.87284860121e+13
1865,8.92648889858e+11
1866,2.3838543128e+12
1867,2.02829080549e+11
1870,1.06236044377e+13
1871,1.71156633986e+12
1872,3.13153333634e+12
1875,4.73513721909e+11
1876,1.91766968201e+11
1877,7.6767424652e+12
1879,3.95549296358e+11
1880,45868039220.0
1882,3.32919187078e+11
1883,2.58631837558e+11
1884,3.06180840625e+11
1885,64558860444.0
1891,2.33469649232e+11
1893,30275066618.0
1894,1.92240351259e+11
1895,21931726513.0
1896,90091262707.0
1897,22982541671.0
1898,45208954707.0
1899,1.46718606316e+12
1900,52099785366.0
1901,52421807930.0
1903,73463454187.0
1904,8.75246503335e+11
1905,15316068510.0
1906,3825701471.0
1907,17882904059.0
1909,66104176107.0
1910,7.44835554181e+11
1911,1.06879335589e+11
1912,2.34742804196e+11
1913,1.40483263532e+11
1914,1.19369447001e+13
1915,4.18706992277e+12
1916,2.0762774471e+12
1917,4.75903353153e+12
1918,78836180028.0
1919,3.2977514496e+11
1920,35395038209.0
1921,17613310131.0
1926,4.93687028982e+11
1927,1859711332.0
1928,52882756207.0
1929,18343527939.0
1930,1.57889592851e+12
1931,1.49357298219e+11
1932,1.59798440688e+11
1934,5345853074.0
1935,41680452540.0
1936,1.16805405009e+12
1937,1.8529511492e+12
1938,2878323732.0
1939,8.14704038477e+12
1940,3.9479177175e+11
1941,1.64845579682e+13
1943,1.08081508603e+11
1944,1.3546869477e+11
1945,67290593582.0
1946,2.22740865146e+12
1947,4440654531.0
1948,50464596560.0
1950,6.49416903194e+11
1951,420629094.0
1953,3553160595.0
1954,1701821510.0
1956,30076263824.0
1957,1037214400.0
1958,3164222250.0
1960,94064225244.0
1961,2265002740.0
1962,8734927184.0
1963,15567013580.0
1964,3441625667.0
1965,5.45037120544e+11
1966,2619236732.0
1967,20993657072.0
1968,7762507551.0
1969,3309182212.0
1970,3170867509.0
1971,51601014576.0
1972,17992143901.0
1973,4765580659.0
1974,10565587600.0
1975,6284914300.0
1976,13856522122.0
1977,3624776410.0
1978,14149120352.0
1979,5261125285.0
1980,2.85381290008e+11
1981,1069128933.0
1982,24920625000.0
1983,8207073000.0
1984,3268419000.0
1986,3759847000.0
1987,611239200.0
1989,7160131377.0
1990,9680480000.0
1991,3788499000.0
1992,10003025922.0
1993,1741216500.0
1994,1924460000.0
1995,170765350.0
1997,506361900.0
1998,9779910000.0
1999,2512480000.0
2001,384356000.0
2002,218259900.0
2003,459326140.0
2004,148995000.0
2005,94643898.0
2007,0.0
